"SCHOOL_CODE","COUNTY","PUBLIC_PRIVATE","PUBLIC_SCHOOL_DISTRICT","CITY","SCHOOL_NAME","ENROLLMENT","PERCENT","lookup_address","lon","lat"
6926703,"LOS ANGELES","PRIVATE","","RANCHO PALOS VERDES","PV PENINSULA MONTESSORI SCHOOL",23,95,"PV PENINSULA MONTESSORI SCHOOL RANCHO PALOS VERDES , CA",-118.4058068,33.7489041
6927370,"SAN BERNARDINO","PRIVATE","","UPLAND","CARDEN ARBOR VIEW",24,92,"CARDEN ARBOR VIEW UPLAND , CA",-117.6602954,34.1188543
6927636,"SAN DIEGO","PRIVATE","","LA MESA","MT. HELIX ACADEMY",27,95,"MT. HELIX ACADEMY LA MESA , CA",-116.9982498,32.7867317
6927883,"SAN DIEGO","PRIVATE","","SOLANA BEACH","SANTA FE CHRISTIAN SCHOOLS",40,73,"SANTA FE CHRISTIAN SCHOOLS SOLANA BEACH , CA",-117.25835,32.992085
6928063,"SAN MATEO","PRIVATE","","SAN CARLOS","KINDERCOURT",24,95,"KINDERCOURT SAN CARLOS , CA",-122.2472588,37.4950781
6928402,"SONOMA","PRIVATE","","SANTA ROSA","SONOMA COUNTRY DAY SCHOOL",24,95,"SONOMA COUNTRY DAY SCHOOL SANTA ROSA , CA",-122.7874093,38.5163673
6928998,"KERN","PRIVATE","","BAKERSFIELD","ST. JOHNS LUTHERAN SCHOOL",54,98,"ST. JOHNS LUTHERAN SCHOOL BAKERSFIELD , CA",-119.1257304,35.3127742
6929145,"LOS ANGELES","PRIVATE","","SHERMAN OAKS","C. AND E. MERDINIAN ARMENIAN EVANGELICAL SCHOOL",31,84,"C. AND E. MERDINIAN ARMENIAN EVANGELICAL SCHOOL SHERMAN OAKS , CA",-118.4247055,34.1572036
6929707,"ORANGE","PRIVATE","","CAPISTRANO BEACH","CAPO BEACH CHRISTIAN SCHOOL",28,82,"CAPO BEACH CHRISTIAN SCHOOL CAPISTRANO BEACH , CA",-117.6012627,33.4546664
6929731,"ORANGE","PRIVATE","","ANAHEIM","HEPHATHA LUTHERAN SCHOOL",24,92,"HEPHATHA LUTHERAN SCHOOL ANAHEIM , CA",-117.7829371,33.852188
6929780,"ORANGE","PRIVATE","","GARDEN GROVE","ORANGE CRESCENT",38,95,"ORANGE CRESCENT GARDEN GROVE , CA",-117.958963,33.7552839
6929855,"ORANGE","PRIVATE","","SAN JUAN CAPISTRANO","STONEYBROOKE CHRISTIAN SCHOOLS",61,92,"STONEYBROOKE CHRISTIAN SCHOOLS SAN JUAN CAPISTRANO , CA",-117.671472,33.540579
6930085,"RIVERSIDE","PRIVATE","","HEMET","ST. JOHNS LUTHERAN",39,95,"ST. JOHNS LUTHERAN HEMET , CA",-116.945013,33.738123
6930564,"SAN DIEGO","PRIVATE","","SAN MARCOS","VALLEY CHRISTIAN SCHOOL",20,95,"VALLEY CHRISTIAN SCHOOL SAN MARCOS , CA",-117.1991018,33.1302036
6930572,"SAN FRANCISCO","PRIVATE","","SAN FRANCISCO","ADDA CLEVENGER SCHOOL",27,95,"ADDA CLEVENGER SCHOOL SAN FRANCISCO , CA",-122.4242889,37.7536992
6931158,"SANTA CRUZ","PRIVATE","","SCOTTS VALLEY","BAYMONTE CHRISTIAN SCHOOL",37,89,"BAYMONTE CHRISTIAN SCHOOL SCOTTS VALLEY , CA",-122.0022463,37.0615629
6931810,"LOS ANGELES","PRIVATE","","CLAREMONT","WESTERN CHRISTIAN SCHOOL",42,95,"WESTERN CHRISTIAN SCHOOL CLAREMONT , CA",-117.6993931,34.1260131
6932214,"SAN DIEGO","PRIVATE","","SAN DIEGO","CHABAD HEBREW ACADEMY",21,95,"CHABAD HEBREW ACADEMY SAN DIEGO , CA",-117.086639,32.9005947
6932289,"SANTA BARBARA","PRIVATE","","SANTA MARIA","VALLEY CHRISTIAN ACADEMY",57,96,"VALLEY CHRISTIAN ACADEMY SANTA MARIA , CA",-120.4289214,34.9059964
6932925,"ALAMEDA","PRIVATE","","OAKLAND","HEADROYCE SCHOOL",43,95,"HEADROYCE SCHOOL OAKLAND , CA",-122.2051685,37.8079905
6933022,"ALAMEDA","PRIVATE","","OAKLAND","PATTEN ACADEMY OF CHRISTIAN EDUCATION",20,95,"PATTEN ACADEMY OF CHRISTIAN EDUCATION OAKLAND , CA",-122.2188878,37.7859871
6933436,"CONTRA COSTA","PRIVATE","","CONCORD","KINGS VALLEY CHRISTIAN SCHOOL",40,95,"KINGS VALLEY CHRISTIAN SCHOOL CONCORD , CA",-121.993979,37.966293
6933717,"FRESNO","PRIVATE","","REEDLEY","IMMANUEL SCHOOLS",33,95,"IMMANUEL SCHOOLS REEDLEY , CA",-119.4575255,36.5866138
6934053,"KINGS","PRIVATE","","LEMOORE","KINGS CHRISTIAN",25,95,"KINGS CHRISTIAN LEMOORE , CA",-119.7661282,36.3002147
6934145,"LOS ANGELES","PRIVATE","","LOS ANGELES","ALEX PILIBOS ARMENIAN",51,98,"ALEX PILIBOS ARMENIAN LOS ANGELES , CA",-118.298723,34.100329
